BucketId,BucketSize
0,4
1,5
2,5
3,8
4,3
5,6
6,6
7,9
8,2
9,6
10,7
11,7
12,9
13,10
14,5
15,7
16,8
17,10
18,14
19,9
20,10
21,5
22,5
23,5
24,10
25,9
26,4
27,9
28,9
29,6
30,5
31,6
32,5
33,9
34,12
35,7
36,12
37,5
38,4
39,4
40,8
41,12
42,8
43,3
44,5
45,6
46,8
47,12
48,7
49,9
50,6
51,11
52,9
53,7
54,9
55,8
56,6
57,6
58,12
59,10
60,10
61,6
62,4
63,5
64,10
65,6
66,7
67,5
68,6
69,8
70,8
71,7
72,9
73,9
74,4
75,12
76,9
77,1
78,8
79,6
80,7
81,12
82,9
83,9
84,14
85,7
86,7
87,9
88,5
89,6
90,8
91,10
92,7
93,7
94,8
95,6
96,6
97,6
98,5
99,9
100,7
101,5
102,7
103,5
104,8
105,5
106,10
107,7
108,9
109,10
110,8
111,4
112,7
113,6
114,8
115,7
116,7
117,10
118,7
119,7
120,5
121,5
122,5
123,10
124,5
125,8
126,5
127,7
128,6
129,6
130,8
131,11
132,3
133,5
134,4
135,9
136,14
137,10
138,3
139,5
140,5
141,3
142,7
143,7
144,8
145,4
146,7
147,6
148,5
149,8
150,12
151,8
152,5
153,7
154,7
155,11
156,7
157,9
158,8
159,5
160,7
161,9
162,9
163,9
164,9
165,5
166,9
167,10
168,8
169,7
170,6
171,3
172,3
173,8
174,6
175,4
176,5
177,3
178,8
179,8
180,9
181,6
182,9
183,7
184,12
185,4
186,14
187,5
188,9
189,10
190,8
191,8
192,8
193,10
194,14
195,12
196,6
197,9
198,9
199,6
200,12
201,10
202,13
203,7
204,6
205,7
206,6
207,6
208,11
209,7
210,14
211,8
212,7
213,6
214,14
215,5
216,3
217,5
218,8
219,8
220,1
221,10
222,4
223,6
224,5
225,11
226,6
227,8
228,10
229,9
230,10
231,7
232,6
233,3
234,6
235,9
236,7
237,6
238,4
239,9
240,10
241,12
242,6
243,7
244,7
245,4
246,8
247,9
248,5
249,8
250,9
251,13
252,6
253,10
254,10
255,7
256,9
257,8
258,7
259,5
260,9
261,6
262,4
263,9
264,11
265,6
266,6
267,4
268,7
269,11
270,6
271,8
272,8
273,2
274,11
275,4
276,8
277,8
278,8
279,6
280,8
281,6
282,7
283,12
284,2
285,7
286,6
287,4
288,8
289,6
290,6
291,8
292,9
293,6
294,6
295,11
296,3
297,7
298,7
299,8
300,6
301,3
302,8
303,11
304,8
305,9
306,5
307,7
308,7
309,3
310,5
311,4
312,8
313,6
314,6
315,8
316,7
317,5
318,7
319,5
320,9
321,9
322,10
323,9
324,7
325,8
326,9
327,3
328,6
329,3
330,5
331,9
332,12
333,4
334,10
335,5
336,5
337,7
338,9
339,7
340,5
341,7
342,10
343,10
344,8
345,9
346,11
347,9
348,2
349,8
350,10
351,6
352,8
353,10
354,5
355,11
356,10
357,11
358,10
359,4
360,7
361,7
362,5
363,11
364,3
365,8
366,7
367,9
368,6
369,8
370,6
371,7
372,12
373,10
374,5
375,8
376,5
377,5
378,11
379,7
380,8
381,7
382,9
383,6
384,6
385,3
386,9
387,6
388,3
389,8
390,11
391,10
392,8
393,10
394,8
395,4
396,4
397,8
398,5
399,10
400,2
401,3
402,1
403,5
404,10
405,10
406,6
407,6
408,8
409,9
410,5
411,5
412,7
413,6
414,10
415,11
416,5
417,7
418,9
419,5
420,7
421,7
422,5
423,6
424,9
425,12
426,6
427,2
428,2
429,10
430,9
431,10
432,8
433,9
434,9
435,6
436,5
437,8
438,10
439,10
440,4
441,9
442,8
443,7
444,9
445,6
446,10
447,6
448,9
449,7
450,6
451,5
452,10
453,5
454,5
455,7
456,10
457,9
458,7
459,9
460,5
461,7
462,4
463,5
464,4
465,7
466,8
467,10
468,5
469,4
470,7
471,6
472,9
473,10
474,5
475,8
476,8
477,5
478,7
479,7
480,3
481,7
482,10
483,9
484,8
485,4
486,9
487,9
488,7
489,8
490,7
491,9
492,10
493,3
494,4
495,7
496,3
497,11
498,3
499,8
500,10
501,6
502,8
503,12
504,10
505,8
506,4
507,11
508,6
509,10
510,8
511,5
512,7
513,11
514,12
515,14
516,2
517,6
518,9
519,3
520,6
521,10
522,8
523,12
524,13
525,6
526,9
527,4
528,5
529,12
530,8
531,10
532,10
533,4
534,7
535,12
536,4
537,6
538,8
539,7
540,5
541,3
542,10
543,5
544,8
545,12
546,8
547,8
548,8
549,5
550,7
551,2
552,6
553,7
554,11
555,6
556,5
557,5
558,7
559,7
560,9
561,6
562,8
563,3
564,5
565,7
566,9
567,8
568,7
569,7
570,4
571,8
572,13
573,10
574,3
575,7
576,16
577,10
578,4
579,4
580,7
581,5
582,0
583,6
584,8
585,9
586,2
587,7
588,1
589,9
590,4
591,5
592,8
593,10
594,9
595,7
596,9
597,7
598,10
599,5
600,8
601,6
602,6
603,6
604,3
605,2
606,6
607,8
608,5
609,4
610,8
611,13
612,9
613,11
614,15
615,10
616,6
617,8
618,8
619,9
620,9
621,8
622,13
623,5
624,2
625,7
626,7
627,10
628,14
629,5
630,5
631,10
632,9
633,7
634,12
635,7
636,9
637,10
638,10
639,3
640,11
641,14
642,6
643,9
644,8
645,6
646,9
647,10
648,7
649,7
650,8
651,8
652,6
653,12
654,6
655,9
656,7
657,12
658,7
659,9
660,7
661,8
662,7
663,4
664,6
665,12
666,3
667,7
668,6
669,7
670,10
671,10
672,6
673,7
674,6
675,8
676,13
677,9
678,7
679,10
680,6
681,6
682,7
683,14
684,6
685,3
686,4
687,9
688,5
689,11
690,5
691,8
692,1
693,7
694,7
695,3
696,6
697,8
698,6
699,5
700,7
701,11
702,8
703,6
704,6
705,10
706,9
707,4
708,7
709,8
710,4
711,13
712,5
713,6
714,7
715,6
716,2
717,8
718,8
719,6
720,8
721,7
722,7
723,9
724,11
725,9
726,9
727,5
728,7
729,3
730,9
731,10
732,8
733,5
734,7
735,10
736,10
737,9
738,8
739,7
740,8
741,7
742,15
743,4
744,11
745,8
746,5
747,6
748,11
749,7
750,8
751,5
752,9
753,10
754,8
755,7
756,9
757,7
758,6
759,8
760,6
761,7
762,7
763,6
764,12
765,7
766,5
767,12
768,8
769,9
770,13
771,5
772,6
773,10
774,9
775,9
776,7
777,5
778,10
779,8
780,7
781,1
782,8
783,7
784,3
785,6
786,5
787,7
788,11
789,6
790,8
791,8
792,8
793,10
794,6
795,5
796,7
797,6
798,5
799,7
800,12
801,8
802,10
803,10
804,10
805,5
806,3
807,9
808,10
809,5
810,8
811,6
812,8
813,9
814,9
815,12
816,3
817,6
818,12
819,5
820,4
821,4
822,7
823,2
824,7
825,6
826,8
827,7
828,7
829,5
830,9
831,12
832,8
833,6
834,4
835,5
836,14
837,8
838,13
839,4
840,8
841,7
842,4
843,10
844,8
845,8
846,6
847,9
848,6
849,1
850,6
851,9
852,6
853,5
854,7
855,7
856,8
857,8
858,8
859,8
860,6
861,7
862,5
863,6
864,7
865,8
866,6
867,8
868,6
869,5
870,12
871,2
872,4
873,12
874,4
875,6
876,10
877,8
878,6
879,4
880,9
881,8
882,8
