BucketId,BucketSize
0,9
1,6
2,2
3,2
4,2
5,6
6,2
7,4
8,5
9,5
10,9
11,6
12,5
13,9
14,6
15,8
16,3
17,3
18,4
19,0
20,4
21,7
22,4
23,5
24,10
25,6
26,6
27,7
28,2
29,8
30,4
31,3
32,9
33,6
34,3
35,6
36,7
37,5
38,4
39,6
40,3
41,4
42,8
43,2
44,4
45,7
46,3
47,6
48,1
49,7
50,4
51,6
52,8
53,9
54,6
55,2
56,3
57,3
58,6
59,9
60,9
61,5
62,8
63,5
64,5
65,8
66,8
67,0
68,4
69,8
70,5
71,6
72,7
73,7
74,5
75,5
76,5
77,7
78,2
79,7
80,4
81,7
82,4
83,4
84,3
85,5
86,8
87,6
88,6
89,9
90,3
91,4
92,4
93,7
94,2
95,2
96,6
97,5
98,7
99,7
100,6
101,7
102,2
103,8
104,7
105,9
106,1
107,4
108,4
109,3
110,4
111,5
112,3
113,5
114,4
115,2
116,5
117,3
118,3
119,5
120,5
121,4
122,1
123,3
124,6
125,5
126,2
127,7
128,6
129,6
130,3
131,6
132,5
133,9
134,5
135,8
136,6
137,7
138,6
139,7
140,6
141,10
142,7
143,11
144,7
145,2
146,3
147,5
148,3
149,5
150,9
151,14
152,4
153,9
154,8
155,11
156,8
157,12
158,7
159,6
160,7
161,9
162,4
163,6
164,4
165,5
166,10
167,10
168,5
169,6
170,7
171,7
172,9
173,8
174,8
175,11
176,3
177,7
178,7
179,8
180,6
181,11
182,9
183,9
184,4
185,6
186,5
187,7
188,8
189,6
190,7
191,9
192,6
193,4
194,8
195,4
196,6
197,6
198,3
199,5
200,7
201,7
202,5
203,8
204,5
205,8
206,6
207,6
208,6
209,2
210,7
211,10
212,6
213,10
214,6
215,6
216,6
217,6
218,4
219,10
220,6
221,6
222,6
223,5
224,8
225,7
226,4
227,11
228,9
229,4
230,10
231,7
232,8
233,6
234,13
235,6
236,9
237,4
238,6
239,10
240,4
241,9
242,5
243,4
244,5
245,8
246,8
247,6
248,7
249,7
250,11
251,6
252,8
253,4
254,6
255,6
256,10
257,11
258,15
259,7
260,8
261,10
262,17
263,8
264,10
265,7
266,13
267,9
268,13
269,7
270,10
271,15
272,13
273,12
274,11
